data_month,series_id,data_series,borrower_type,purpose,commitments
1990-03-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.349355
1990-04-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.253893
1990-05-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.350405
1990-06-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.269703
1990-07-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.275456
1990-08-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.315809
1990-09-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.323245
1990-10-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.353795
1990-11-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.325873
1990-12-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.243293
1991-01-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.273301
1991-02-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.293394
1991-03-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.31393
1991-04-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.322637
1991-05-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.435669
1991-06-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.34479
1991-07-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.411565
1991-08-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.374562
1991-09-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.347509
1991-10-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.38016
1991-11-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.367645
1991-12-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.340521
